personid,wfh,age,tenure,grosswage,children,bedroom,commute,men,married,high_educ
19266,0,22,42,4.0709419,no,yes,65,1,0,0
19268,0,23,42,3.9852912,no,no,100,1,0,1
19296,0,25,42,3.8101943,no,no,105,1,1,0
19344,0,26,42,3.9038167,no,no,160,0,0,1
19544,0,25,25,3.3879843,no,no,90,0,0,1
19558,0,26,25,3.7050955,no,yes,40,0,0,1
19576,0,23,42,3.4961178,no,yes,70,1,0,1
19684,0,22,41,2.7337523,no,yes,180,0,0,1
19712,0,21,41,3.0223567,no,no,30,0,0,1
20260,0,23,39,4.6721969,no,no,40,0,0,1
20356,0,24,39,3.134609,no,no,40,0,0,1
20386,0,26,39,2.953568,no,yes,70,0,1,1
20536,0,26,38,3.7286656,no,yes,60,0,0,1
20568,0,23,38,3.8858354,no,no,30,0,0,0
20708,0,21,38,3.0945213,no,no,60,1,0,0
20790,0,25,38,4.0563588,no,no,40,0,0,1
20804,0,26,38,3.2056422,no,no,40,0,0,1
20994,0,24,38,3.9896567,no,yes,180,1,0,1
21014,0,24,25,3.7158668,no,yes,30,0,0,1
21060,0,24,38,3.2551234,no,yes,20,0,0,1
21068,0,25,38,3.7650187,no,yes,60,0,0,1
21126,0,25,38,2.4348133,no,yes,120,0,0,1
21138,0,25,38,2.7632489,no,yes,120,1,0,0
21142,0,25,38,3.663141,no,yes,130,0,1,1
21286,0,25,37,2.6855145,no,no,30,1,0,0
21312,0,24,25,3.2305489,no,no,40,0,0,1
21454,0,22,37,3.5118167,no,no,120,1,0,1
21472,0,24,37,2.5875034,no,yes,70,0,0,1
21474,0,25,37,2.7566977,no,yes,100,1,0,0
21478,0,27,37,3.4119534,no,no,130,1,0,0
21492,0,27,37,3.2355423,no,no,40,0,0,1
21592,0,22,37,3.5140011,no,no,30,0,0,0
21610,0,20,37,3.4877989,no,yes,140,1,0,0
21614,0,25,37,2.9098122,no,yes,110,0,0,1
21622,0,25,37,3.3491721,no,yes,30,0,1,0
21670,0,28,25,3.2536354,no,yes,90,0,0,1
21696,0,25,37,4.9885721,no,yes,60,0,0,0
21704,0,23,37,3.079479,no,no,50,0,0,1
21746,0,21,37,2.8369355,no,yes,90,0,0,0
21990,0,26,36,2.6234801,no,yes,60,1,0,0
21996,0,26,36,3.2235112,no,no,120,0,0,0
22080,0,24,36,3.5719011,no,no,60,0,0,1
22082,0,22,36,3.5133724,no,no,60,0,0,1
22130,0,25,36,2.5165932,no,yes,80,0,0,1
22132,0,25,36,4.4988065,no,yes,20,0,0,1
22136,0,21,36,3.0249944,no,yes,40,0,0,0
22140,0,25,36,3.8671577,no,yes,40,0,1,1
22190,0,22,36,3.3493822,no,no,60,0,0,0
22218,0,21,36,3.4206634,no,yes,30,0,0,0
22230,0,20,36,3.1743488,no,no,30,0,0,0
22260,0,22,36,2.6297543,no,no,20,0,0,0
22266,0,21,36,3.9789944,no,no,60,0,0,0
22290,0,26,36,2.72949,yes,yes,80,1,1,0
22318,0,22,36,3.1374056,no,no,50,0,0,0
22324,0,21,36,3.5810654,no,no,60,0,0,0
22336,0,21,36,4.0701566,no,no,25,0,0,0
22340,0,20,36,2.8807321,no,no,45,0,0,0
22426,0,22,36,3.0261011,no,yes,50,0,0,0
22428,0,21,36,2.5083845,no,no,60,0,0,1
22456,0,21,36,3.5803354,no,yes,60,0,0,0
22500,0,21,36,3.397541,no,no,60,0,0,0
22706,0,26,36,3.2608311,no,yes,60,0,1,1
22720,0,22,36,3.6249466,no,no,90,0,0,0
22864,0,21,35,2.5618279,no,no,40,0,0,0
22878,0,27,35,2.5484579,no,yes,120,0,0,1
22888,0,28,35,2.702172,no,yes,180,1,0,0
23046,0,22,35,2.7214289,no,no,40,0,0,0
23050,0,21,35,3.1027713,no,no,40,0,0,0
23066,0,27,35,3.0804055,no,yes,90,0,1,0
23084,0,21,35,2.8742557,no,no,60,0,0,0
23088,0,20,35,3.7588732,no,no,30,0,0,0
23096,0,21,35,3.1757178,no,no,35,0,0,0
23150,0,23,35,3.4969122,no,no,40,0,0,1
23172,0,20,34,2.76301,no,no,45,0,0,0
23374,0,23,35,3.4031124,no,no,20,0,0,0
23380,0,20,35,2.8368402,no,no,60,0,0,0
23400,0,22,35,4.6049948,no,no,30,0,0,0
23410,0,21,35,3.5458078,no,yes,40,0,0,0
23438,0,20,35,4.3959155,no,no,40,1,0,0
23480,0,24,35,2.9802465,no,no,30,0,0,1
23516,0,24,35,3.3576355,no,yes,60,0,0,1
23604,0,23,35,5.4443502,no,no,150,1,0,0
23676,0,21,35,3.16377,no,no,30,0,0,0
23686,0,20,35,2.8571634,no,yes,180,1,0,0
23742,0,21,35,2.5448833,no,yes,240,1,0,0
23792,0,21,35,2.8915479,no,no,130,1,0,0
23928,0,21,34,2.9202135,no,yes,40,0,0,0
23934,0,20,34,3.4087012,no,no,65,0,0,0
23950,0,24,34,2.9984467,yes,yes,120,0,1,1
23982,0,21,34,3.3095632,no,no,50,0,0,0
24066,0,26,34,3.6637111,no,no,60,0,0,0
24070,0,24,34,3.0301745,no,no,60,0,0,1
24076,0,24,34,3.8333433,no,yes,20,1,0,1
24110,0,25,34,3.6679611,no,yes,20,0,0,1
24162,0,25,34,2.9205401,no,no,60,0,0,1
24322,0,23,34,3.5393789,no,yes,30,1,0,1
24324,0,23,34,2.5267766,no,yes,35,1,0,1
24328,0,24,34,3.0627234,no,yes,40,0,0,0
24340,0,23,34,3.5642712,no,yes,40,0,0,1
24530,0,25,34,4.3066864,no,no,33,0,0,1
24598,0,24,34,4.4733825,no,no,30,1,0,1
24606,0,21,34,4.6458611,no,yes,40,1,0,1
24828,0,21,33,2.7225854,no,no,25,0,0,0
24968,0,20,33,3.1361432,no,no,40,0,0,1
25072,0,23,33,2.9120088,no,no,20,1,0,1
25074,0,21,33,3.7054734,no,yes,30,0,0,0
25084,0,24,33,2.0531211,no,yes,90,1,0,1
25086,0,24,33,1.9326589,no,yes,80,0,0,0
25094,0,25,33,3.0681798,no,yes,140,0,0,1
25326,0,27,32,3.0966346,no,yes,5,0,1,1
25334,0,23,32,3.3170657,no,no,40,0,0,0
25342,0,26,32,2.7874212,no,no,180,0,0,1
25524,0,26,32,3.8020689,no,no,20,1,0,1
25526,0,29,32,4.2403712,no,no,50,1,0,0
25560,0,22,32,3.0283911,no,no,20,0,0,0
25612,0,21,32,2.5250502,no,no,30,0,0,0
25616,0,23,32,2.573849,no,yes,30,1,0,1
25618,0,25,32,4.0457158,no,no,20,1,0,1
25620,0,23,32,2.8754656,no,yes,90,1,0,0
25622,0,20,32,2.8584857,no,yes,80,0,0,0
25826,0,20,31,3.2321477,no,no,30,0,0,0
25830,0,19,31,3.6076546,no,no,30,0,0,1
25872,0,20,31,3.5170422,no,no,35,0,0,0
25876,0,20,31,4.3397822,no,yes,80,0,0,0
25926,0,22,31,3.3110511,no,no,40,0,0,0
25976,0,22,31,3.309551,yes,no,40,0,1,0
26144,0,24,31,5.0663657,no,yes,30,1,0,1
26198,0,22,31,3.2865422,no,no,30,0,0,1
26200,0,20,31,3.2126355,no,no,40,0,0,0
26202,0,19,31,3.1471798,no,no,50,0,0,1
26208,0,20,31,3.6915932,no,no,40,0,0,1
26226,0,19,31,3.1089356,no,no,60,0,0,1
26236,0,20,31,2.8887911,no,no,40,0,0,1
26238,0,20,31,3.6731389,no,no,30,0,0,0
26242,0,20,31,3.197969,no,no,35,0,0,1
26248,0,20,31,3.7751455,no,no,40,0,0,0
26262,0,20,31,4.4634914,no,no,30,0,0,0
26270,0,22,31,3.2465155,no,no,36,0,0,1
26278,0,20,31,2.9617057,no,no,40,0,0,0
26284,0,20,31,3.1350701,no,no,25,0,0,0
26286,0,20,31,3.1599944,no,no,30,0,0,0
26292,0,19,31,3.6421499,no,no,40,0,0,0
26352,0,20,31,2.8953266,no,no,30,0,0,0
26388,0,23,31,4.3880033,no,no,50,1,0,1
26634,0,26,30,2.8049321,no,yes,60,0,0,1
26896,0,22,30,4.9019079,no,no,30,0,0,1
26906,0,24,30,3.2975867,no,yes,40,0,0,0
26934,0,24,30,3.4246302,no,yes,120,0,0,1
26944,0,24,30,3.3517056,no,no,60,0,0,1
26948,0,23,30,3.284308,no,no,12,1,0,1
26956,0,23,30,3.4564812,no,no,120,0,0,0
26982,0,24,30,2.9843311,no,no,40,0,0,1
27044,0,23,30,2.8324389,no,no,30,0,0,1
27076,0,24,30,3.877239,no,no,35,0,0,1
27180,0,23,29,3.6185167,no,yes,80,0,1,1
27232,0,25,29,3.0338612,no,no,100,0,0,1
27234,0,24,29,3.5235732,no,yes,60,1,0,1
27336,0,21,29,3.0230489,no,no,50,0,0,1
27344,0,27,29,3.0930235,no,no,40,0,0,1
27364,0,24,29,3.4228323,no,no,60,0,0,1
27382,0,24,29,2.719209,no,no,40,0,0,1
