super_opeid,name,type,tier,iclevel,state,parq,share,kq5_cond_parq
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,1,.15657392,.12547563
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,2,.22410621,.12463983
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,3,.29169142,.15628287
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,4,.22855283,.20831342
2057,Allegany College Of Maryland,Public,Two-year (public and private not-for-profit),Two-year,MD,5,.099075511,.1969749
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,1,.037381232,.35939038
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,2,.078848675,.35576648
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,3,.1665498,.43652496
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,4,.288313,.40918911
3230,Allegheny College,Private Non-profit,Selective private,Four-year,PA,5,.42890722,.51344764
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,1,.10632455,.10357492
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,2,.19791794,.1081553
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,3,.28203198,.11139948
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,4,.26905611,.1698636
1901,Allen County Community College,Public,Two-year (public and private not-for-profit),Two-year,KS,5,.14466943,.17792453
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,1,.050117996,.23263311
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,2,.095352128,.27342275
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,3,.17640549,.33647174
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,4,.28018877,.21029328
2236,Alma College,Private Non-profit,Selective private,Four-year,MI,5,.39793569,.45566571
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,1,.15903667,.096057676
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,2,.1923676,.12242617
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,3,.28650403,.24053444
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,4,.2348613,.26818064
2237,Alpena Community College,Public,Two-year (public and private not-for-profit),Two-year,MI,5,.12723048,.30635872
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,1,.37032306,.061545223
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,2,.25208858,.087252766
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,3,.22068323,.05729698
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,4,.1103714,.15394938
30321,Altamaha Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,5,.046533782,.12103032
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,1,.066485949,.3286742
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,2,.14129101,.23710053
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,3,.21616477,.25384772
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,4,.31234124,.33402681
3233,Alvernia University,Private Non-profit,Selective private,Four-year,PA,5,.26371697,.29671928
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,1,.15033281,.17699276
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,2,.19734082,.13302611
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,3,.22081539,.20698726
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,4,.27449477,.2181105
3832,Alverno College,Private Non-profit,Selective private,Four-year,WI,5,.15701626,.18059897
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,1,.092303403,.1921438
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,2,.13839598,.17864962
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,3,.18687269,.23962016
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,4,.29412159,.29985574
3539,Alvin Community College,Public,Two-year (public and private not-for-profit),Two-year,TX,5,.28830639,.33139321
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,1,.16241902,.12019882
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,2,.22502606,.14847939
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,3,.22983143,.19621083
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,4,.24252202,.21439523
3540,Amarillo College,Public,Two-year (public and private not-for-profit),Two-year,TX,5,.14020148,.296229
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,1,.41461432,.047621168
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,2,.28462368,.082698919
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,3,.15968955,.10606091
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,4,.09054707,.15169007
22418,"American Career College of Los Angeles, CA",Private For-profit,Two-year for-profit,Two-year,CA,5,.050525419,.30897993
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,1,.081016317,.1770708
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,2,.1941523,.14782244
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,3,.29171199,.22613423
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,4,.30712795,.16950519
3963,American Institute Of Business,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,IA,5,.12599143,.28805116
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,1,.26033288,.10127345
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,2,.25847679,.10939039
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,3,.22258297,.13556214
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,4,.16052973,.14315261
21136,American Intercontinental University,Private For-profit,Four-year for-profit,Four-year,IL,5,.098077446,.25012851
2114,American International College,Private Non-profit,Selective private,Four-year,MA,1,.1455442,.18479864
2114,American International College,Private Non-profit,Selective private,Four-year,MA,2,.1995191,.2348188
2114,American International College,Private Non-profit,Selective private,Four-year,MA,3,.18894041,.27625021
2114,American International College,Private Non-profit,Selective private,Four-year,MA,4,.25597811,.39623728
2114,American International College,Private Non-profit,Selective private,Four-year,MA,5,.21001817,.36834115
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,1,.06849435,.10258131
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,2,.13463777,.14292403
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,3,.18843894,.12588428
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,4,.26431316,.15088727
7572,American Musical & Dramatic Academy,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,5,.34411585,.18453501
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,1,.29305914,.033071224
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,2,.2959623,.021346353
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,3,.2585285,.0288189
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,4,.11077217,.050979674
3726,American National University,Private For-profit,Four-year for-profit,Four-year,VA,5,.041677851,.0027223404
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,1,.035309114,.36376554
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,2,.066071384,.54287821
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,3,.10890936,.52374905
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,4,.17679563,.55285692
1434,American University ,Private Non-profit,Highly selective private,Four-year,DC,5,.61291456,.53863889
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,1,.042215958,.46467811
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,2,.059988361,.61880171
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,3,.094621271,.55451787
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,4,.097151466,.5064646
